
=== LOGISTIC REGRESSION - 100 x STRATIFIED K-FOLD ===

=== LOGISTIC REGRESSION - 100 x STRATIFIED K-FOLD ===

Run 1
Fold 10: 0.939959
Meso Accuracy: 0.943325

Run 3
Fold 1: 0.943125
Fold 2: 0.941087
Fold 3: 0.942412
Fold 4: 0.944552
Fold 5: 0.942100
Fold 6: 0.946585
Fold 7: 0.941284
Fold 8: 0.944546
Fold 9: 0.948726
Fold 10: 0.942304
Meso Accuracy: 0.943672

Run 4
Fold 1: 0.946285
Fold 2: 0.945469
Fold 3: 0.939863
Fold 4: 0.948833
Fold 5: 0.939959
Fold 6: 0.945260
Fold 7: 0.940571
Fold 8: 0.942915
Fold 9: 0.944852
Fold 10: 0.944954
Meso Accuracy: 0.943896

Run 5
Fold 1: 0.946285
Fold 2: 0.943839
Fold 3: 0.943023
Fold 4: 0.940781
Fold 5: 0.945668
Fold 6: 0.942610
Fold 7: 0.943731
Fold 8: 0.946585
Fold 9: 0.944852
Fold 10: 0.943527
Meso Accuracy: 0.944090

Run 6
Fold 1: 0.941290
Fold 2: 0.945877
Fold 3: 0.942615
Fold 4: 0.945164
Fold 5: 0.942813
Fold 6: 0.944546
Fold 7: 0.945260
Fold 8: 0.945260
Fold 9: 0.938124
Fold 10: 0.946585
Meso Accuracy: 0.943754

Run 7
Fold 1: 0.944246
Fold 2: 0.939965
Fold 3: 0.946285
Fold 4: 0.940679
Fold 5: 0.941794
Fold 6: 0.943425
Fold 7: 0.945973
Fold 8: 0.945260
Fold 9: 0.944343
Fold 10: 0.947197
Meso Accuracy: 0.943917

Run 8
Fold 1: 0.944144
Fold 2: 0.943839
Fold 3: 0.941494
Fold 4: 0.944450
Fold 5: 0.943935
Fold 6: 0.942508
Fold 7: 0.941386
Fold 8: 0.939755
Fold 9: 0.945973
Fold 10: 0.943527
Meso Accuracy: 0.943101

Run 9
Fold 1: 0.944042
Fold 2: 0.942615
Fold 3: 0.943329
Fold 4: 0.940781
Fold 5: 0.943731
Fold 6: 0.942813
Fold 7: 0.941590
Fold 8: 0.945260
Fold 9: 0.945362
Fold 10: 0.942406
Meso Accuracy: 0.943193

TELIKOS MESOS OROS 100 RUNS: 0.943623

=== MULTINOMIAL NAIVE BAYES - 100 x STRATIFIED K-FOLD ===

=== LOGISTIC REGRESSION - 10 x STRATIFIED K-FOLD ===

Run 1
Fold 1: 0.941087
Fold 2: 0.947304
Fold 3: 0.941800
Fold 4: 0.942106
Fold 5: 0.942610
Fold 6: 0.945362
Fold 7: 0.943425
Fold 8: 0.945362
Fold 9: 0.944037
Fold 10: 0.942813
Meso Accuracy: 0.943590

Run 2
Fold 1: 0.943431
Fold 2: 0.942310
Fold 3: 0.944348
Fold 4: 0.945164
Fold 5: 0.941386
Fold 6: 0.944037
Fold 7: 0.942813
Fold 8: 0.942100
Fold 9: 0.942304
Fold 10: 0.946585
Meso Accuracy: 0.943448

Run 3
Fold 1: 0.943023
Fold 2: 0.945571
Fold 3: 0.946489
Fold 4: 0.943227
Fold 5: 0.939857
Fold 6: 0.942406
Fold 7: 0.947706
Fold 8: 0.942100
Fold 9: 0.944444
Fold 10: 0.939857
Meso Accuracy: 0.943468

Run 4
Fold 1: 0.943329
Fold 2: 0.942921
Fold 3: 0.945266
Fold 4: 0.947202
Fold 5: 0.943731
Fold 6: 0.940061
Fold 7: 0.944343
Fold 8: 0.941896
Fold 9: 0.941488
Fold 10: 0.944343
Meso Accuracy: 0.943458

Run 5
Fold 1: 0.943431
Fold 2: 0.945979
Fold 3: 0.945164
Fold 4: 0.944654
Fold 5: 0.940571
Fold 6: 0.941081
Fold 7: 0.945464
Fold 8: 0.942202
Fold 9: 0.939653
Fold 10: 0.943935
Meso Accuracy: 0.943213

Run 6
Fold 1: 0.948527
Fold 2: 0.945469
Fold 3: 0.942921
Fold 4: 0.945266
Fold 5: 0.941488
Fold 6: 0.944852
Fold 7: 0.944037
Fold 8: 0.941794
Fold 9: 0.941794
Fold 10: 0.942202
Meso Accuracy: 0.943835

Run 7
Fold 1: 0.941800
Fold 2: 0.942819
Fold 3: 0.946183
Fold 4: 0.946489
Fold 5: 0.942508
Fold 6: 0.942508
Fold 7: 0.939959
Fold 8: 0.944444
Fold 9: 0.941284
Fold 10: 0.942915
